utc_timestamp,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal,BE_temperature,BE_radiation_direct_horizontal,BE_radiation_diffuse_horizontal,BG_temperature,BG_radiation_direct_horizontal,BG_radiation_diffuse_horizontal,CH_temperature,CH_radiation_direct_horizontal,CH_radiation_diffuse_horizontal,CZ_temperature,CZ_radiation_direct_horizontal,CZ_radiation_diffuse_horizontal,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal,DK_temperature,DK_radiation_direct_horizontal,DK_radiation_diffuse_horizontal,EE_temperature,EE_radiation_direct_horizontal,EE_radiation_diffuse_horizontal,ES_temperature,ES_radiation_direct_horizontal,ES_radiation_diffuse_horizontal,FI_temperature,FI_radiation_direct_horizontal,FI_radiation_diffuse_horizontal,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal,GB_temperature,GB_radiation_direct_horizontal,GB_radiation_diffuse_horizontal,GR_temperature,GR_radiation_direct_horizontal,GR_radiation_diffuse_horizontal,HR_temperature,HR_radiation_direct_horizontal,HR_radiation_diffuse_horizontal,HU_temperature,HU_radiation_direct_horizontal,HU_radiation_diffuse_horizontal,IE_temperature,IE_radiation_direct_horizontal,IE_radiation_diffuse_horizontal,IT_temperature,IT_radiation_direct_horizontal,IT_radiation_diffuse_horizontal,LT_temperature,LT_radiation_direct_horizontal,LT_radiation_diffuse_horizontal,LU_temperature,LU_radiation_direct_horizontal,LU_radiation_diffuse_horizontal,LV_temperature,LV_radiation_direct_horizontal,LV_radiation_diffuse_horizontal,NL_temperature,NL_radiation_direct_horizontal,NL_radiation_diffuse_horizontal,NO_temperature,NO_radiation_direct_horizontal,NO_radiation_diffuse_horizontal,PL_temperature,PL_radiation_direct_horizontal,PL_radiation_diffuse_horizontal,PT_temperature,PT_radiation_direct_horizontal,PT_radiation_diffuse_horizontal,RO_temperature,RO_radiation_direct_horizontal,RO_radiation_diffuse_horizontal,SE_temperature,SE_radiation_direct_horizontal,SE_radiation_diffuse_horizontal,SI_temperature,SI_radiation_direct_horizontal,SI_radiation_diffuse_horizontal,SK_temperature,SK_radiation_direct_horizontal,SK_radiation_diffuse_horizontal
2015-11-01T00:00:00Z,2.564,0,0,6.724,0,0,1.317,0,0,3.834,0,0,3.645,0,0,4.783,0,0,7.469,0,0,5.406,0,0,12.762,0,0,6.444,0,0,8.527,0,0,8.398,0,0,11.2,0,0,3.282,0,0,2.323,0,0,9.602,0,0,10.221,0,0,-0.125,0,0,6.162,0,0,1.735,0,0,7.336,0,0,7.442,0,0,2.891,0,0,12.693,0,0,-0.52,0,0,7.235,0,0,2.569,0,0,1.715,0,0
2015-11-01T01:00:00Z,2.139,0,0,6.812,0,0,1.055,0,0,3.527,0,0,3.43,0,0,4.59,0,0,7.345,0,0,5.537,0,0,12.598,0,0,6.589,0,0,8.243,0,0,8.302,0,0,11.187,0,0,2.924,0,0,2.043,0,0,9.181,0,0,10.067,0,0,-0.142,0,0,6.112,0,0,1.857,0,0,7.27,0,0,7.336,0,0,2.81,0,0,12.528,0,0,-0.728,0,0,7.18,0,0,2.066,0,0,1.578,0,0
2015-11-01T02:00:00Z,1.853,0,0,6.896,0,0,0.826,0,0,3.368,0,0,3.292,0,0,4.358,0,0,7.335,0,0,5.665,0,0,12.461,0,0,6.689,0,0,7.969,0,0,8.207,0,0,11.124,0,0,2.578,0,0,1.795,0,0,8.737,0,0,9.942,0,0,0.019,0,0,5.76,0,0,2.102,0,0,7.187,0,0,6.997,0,0,2.739,0,0,12.389,0,0,-0.905,0,0,7.145,0,0,1.713,0,0,1.534,0,0
2015-11-01T03:00:00Z,1.506,0,0,6.894,0,0,0.719,0,0,3.314,0,0,3.084,0,0,4.175,0,0,7.392,0,0,5.775,0,0,12.391,0,0,6.764,0,0,7.724,0,0,8.098,0,0,10.987,0,0,2.214,0,0,1.475,0,0,8.491,0,0,9.77,0,0,0.257,0,0,5.335,0,0,2.303,0,0,7.082,0,0,6.733,0,0,2.655,0,0,12.196,0,0,-1.18,0,0,7.118,0,0,1.304,0,0,1.375,0,0
2015-11-01T04:00:00Z,1.074,0,0,6.896,0,0,0.667,0,0,3.347,0,0,2.689,0,0,4.052,0,0,7.491,0,0,5.869,0,0,12.372,0,0,6.807,0,0,7.543,0,0,8.018,0,0,10.87,0.00092747591722,0.0111725240828,1.811,0,0,1.098,0,0,8.323,0,0,9.532,0,0,0.29,0,0,4.997,0,0,2.335,0,0,6.966,0,0,6.653,0,0,2.553,0,0,11.991,0,0,-1.45,0,0,7.087,0,0,0.881,0,0,0.869,0,0
2015-11-01T05:00:00Z,0.654,0.000374512239931,0.00332548776007,6.854,0,0,0.977,8.43955217974,20.5619478203,3.365,0,0,2.246,0.000748770448061,0.0108512295519,3.932,0,0,7.603,0,0,5.99,0.000362526595427,0.0383374734046,12.351,0,0,6.824,4.14200722235E-6,0.000595857992778,7.4,0,0,8.017,0,0,10.965,3.52844715477,22.9013528452,1.418,0.130934287876,0.573865712124,0.862,0.51280260517,1.84649739483,8.17,0,0,9.265,0.0170604530323,0.296039546968,0.278,0.0329057667309,0.751094233269,4.868,0,0,2.232,0.00329014332554,0.203809856674,6.785,0,0,6.555,0,0,2.407,0.0659365300553,0.503763469945,11.937,0,0,-1.153,11.6327708743,17.4474291257,7.055,0,0,0.479,0.00118935967808,0.00961064032192,0.542,0.32355853294,1.09954146706
2015-11-01T06:00:00Z,1.16,27.2879553893,22.4276446107,6.651,0.00609171778291,0.166008282217,2.884,79.1537185755,75.5843814245,3.6,4.10003173211,7.10906826789,2.309,10.3946770401,24.3201229599,3.947,0.933146395161,6.06265360484,7.687,0.0533496404892,1.32515035951,6.172,0.103113699477,7.93348630052,12.354,0.0748808148864,0.622619185114,6.837,0.0345860571915,3.32681394281,7.267,0.365727829502,1.6243721705,8.069,0,0,11.876,34.916135557,101.961164443,2.224,40.4673351909,34.7785648091,2.077,48.655431209,39.017868791,8.04,0,0,9.566,7.46540280023,30.4002971998,0.746,2.09561667179,29.4045833282,4.844,0.0120067072181,0.639193292782,2.368,0.386368404321,15.4406315957,6.6,0.00255552094834,0.110744479052,6.409,9.71948806094E-5,0.00490280511939,3.239,9.93504908695,32.4495509131,12.043,0,0,1.693,123.278729642,46.6267703583,7.047,0.031163990547,1.50093600945,0.94,32.0209125871,26.9563874129,1.5,40.1157101016,35.1555898984
2015-11-01T07:00:00Z,3.911,159.240390362,39.6823096376,6.682,1.43811966802,23.656780332,5.203,231.314705035,83.835694965,5.507,85.7366245363,42.2012754637,4.001,121.395129878,51.496570122,5.045,11.4474190556,53.9876809444,8.092,1.66429656897,28.811003431,6.485,0.351655362671,23.8827446373,13.046,13.6752243265,38.3775756735,6.942,0.312369765445,20.5893302346,8.108,19.2925992696,41.0583007304,8.169,3.79460740332,10.6909925967,12.755,104.313861842,163.264138158,4.192,180.733529756,52.3203702443,4.501,182.828681615,53.5047183846,7.996,0.147399801092,1.00300019891,11.486,81.5415903805,89.1100096195,1.886,10.0958862365,80.9076137635,5.13,0.921098613755,26.8081013862,2.918,2.00594200604,50.537657994,6.46,1.00683138949,21.8759686105,6.391,0.262183914021,8.81171608598,5.237,64.9250667204,80.1032332796,12.361,0.511275207873,9.34982479213,4.456,269.212997827,53.3924021729,7.247,0.792163221061,23.9396367789,3.265,171.241801687,44.4875983126,4.019,176.84477777,47.4517222303
2015-11-01T08:00:00Z,6.512,298.302231807,43.2591681927,7.262,8.22771341714,76.0435865829,7.445,376.00035328,76.2683467196,8.525,233.747827667,48.0883723332,6.497,259.430339974,51.2856600259,6.511,49.9245426136,109.765857386,8.909,7.18360588617,74.8083941138,6.939,0.590476796828,37.5696232032,14.777,93.9848307102,97.3216692898,7.17,0.938224576685,44.1214754233,10.118,85.8286384201,90.0513615799,9.562,48.9615365682,55.9867634318,13.582,195.220005257,193.163794743,6.546,320.909795732,55.8303042681,7.008,312.477449389,55.8173506115,8.896,20.451063215,39.089236785,13.557,203.183049268,109.814250732,3.396,25.6297263005,127.557673699,5.707,4.1790006018,74.9974993982,3.8,4.56178274766,84.9806172523,6.745,4.83326471918,67.5974352808,6.584,1.50382281863,36.1426771814,7.278,183.932921708,85.2476782922,13.387,8.78097749241,76.4886225076,7.22,387.661139788,55.9899602124,7.648,2.67732368022,56.6897763198,5.294,313.726778262,48.2692217383,6.444,303.101033503,49.692166497
2015-11-01T09:00:00Z,8.814,399.666150304,45.8866496961,8.4,26.458254735,128.963345265,9.187,481.798692976,66.512907024,10.611,353.816636925,50.8941630749,9.194,355.287789525,52.9116104753,8.304,111.271832683,138.390667317,9.687,19.8253647614,120.254835239,7.425,0.800115935838,47.0768840642,16.458,233.08445404,114.78284596,7.443,1.72890445784,63.8402955422,11.898,187.859634877,107.211965123,11.246,137.782554453,76.9071455466,14.218,251.911976187,208.712123813,8.56,422.858620216,57.7579797837,8.98,394.393781423,59.4448185766,10.989,93.1581366692,72.8352633308,15.006,303.669891697,118.539908303,5.281,37.4538267677,154.463073232,6.36,11.6837290688,129.081270931,4.868,5.5879922197,100.67140778,7.385,11.1875037192,111.906796281,6.839,3.4466425917,63.5994574083,9.856,263.320021689,85.7156783114,14.495,34.4264136884,157.195086312,9.228,457.625032273,58.0047677274,8.116,4.61367999818,81.9695200018,6.98,418.084327993,50.8364720071,8.452,388.236248766,51.8569512341
2015-11-01T10:00:00Z,10.621,453.286098419,47.4765015812,10.602,136.137726246,152.348173754,10.256,514.775361547,62.0977384534,12.598,428.833526343,53.2930736571,11.214,403.82480779,54.3046922096,10.167,175.867952029,142.427547971,10.462,38.5812571015,148.828242899,7.97,1.86636413311,70.7447358669,17.9,350.80824251,119.28225749,7.67,2.27599205225,72.9544079478,13.978,313.712048076,94.6372519244,12.471,223.818708484,81.438791516,14.627,271.723545854,213.027354146,10.107,471.922591702,59.3925082977,10.345,431.734465829,60.5921341709,12.208,193.886584855,77.7135151452,15.966,368.515586141,120.773013859,7.045,34.9123325031,160.209767497,7.232,25.0012602303,174.92093977,6.039,8.09965639394,116.746843606,8.376,25.9118356429,154.558364357,7.079,5.66093274547,83.7738672545,11.906,286.869963845,90.9085361553,16.174,74.6091864454,218.809513555,10.551,473.970703689,58.792096311,8.58,7.01034395572,100.868056044,8.424,473.537097524,52.2132024758,9.897,425.158755439,53.0006445609
2015-11-01T11:00:00Z,11.834,453.793724829,47.8860751712,13.058,315.100166824,93.1283331764,10.82,479.865783566,59.9417164335,13.996,452.477342988,54.5605570125,12.49,401.797464521,54.5429354788,11.676,217.737482794,132.445417206,11.119,67.1626926434,155.130707357,8.491,2.70497028335,76.9681297167,18.909,407.382685503,126.524814497,7.763,2.25736321912,68.7902367809,15.853,380.731713223,85.1182867775,13.902,275.476328012,81.9627719881,14.811,253.78337538,206.32522462,11.149,465.799869012,59.8230309876,11.295,415.864991763,60.6210082367,13.433,271.303190737,74.6000092629,16.544,372.497544061,124.306255939,7.929,19.4848382376,138.394561762,8.19,37.9459730063,195.963626994,6.891,7.56266619696,108.585533803,9.7,71.0042892337,180.961510766,7.397,10.1309680074,100.247231993,13.133,255.107957702,98.6713422979,17.702,116.529929493,254.253570507,11.358,434.916215592,58.3661844083,9.022,10.3627910638,111.227508936,9.393,474.013752767,52.4468472331,10.847,410.317547174,52.9568528265
